"State College, PA ",153990
"Alexandria, LA ",153922
"Decatur, AL ",153829
"Burlington, NC ",151131
"Bangor, ME ",153923
"Madera, CA ",150865
"Rocky Mount, NC ",152392
"Midland, TX ",141671
"Hanford-Corcoran, CA ",152982
"Chambersburg-Waynesboro, PA ",149618
"Monroe, MI ",152021
"Wichita Falls, TX ",151306
"Elizabethtown-Fort Knox, KY ",148338
"Jefferson City, MO ",149807
"Texarkana, TX-AR ",149198
"Grand Junction, CO ",146723
"Dothan, AL ",145639
"Auburn-Opelika, AL ",140247
"Florence-Muscle Shoals, AL ",147137
"Hattiesburg, MS ",142842
"Wheeling, WV-OH ",147950
"Santa Fe, NM ",144170
"St. George, UT ",138115
"Valdosta, GA ",139588
"Odessa, TX ",137130
"Dalton, GA ",142227
"Coeur d'Alene, ID ",138494
"Johnstown, PA ",143679
"Sebastian-Vero Beach, FL ",138028
"Homosassa Springs, FL ",141236
"Napa, CA ",136484
"Rapid City, SD ",134598
"Springfield, OH ",138333
"Idaho Falls, ID ",133265
"Flagstaff, AZ ",134421
"La Crosse-Onalaska, WI-MN ",133665
"Lebanon, PA ",133568
"Battle Creek, MI ",136146
"Wausau, WI ",134063
"Morgantown, WV ",129709
"Lawton, OK ",130291
"Sierra Vista-Douglas, AZ ",131346
"Winchester, VA-WV ",128472
"Jackson, TN ",130011
"Pittsfield, MA ",131219
"Farmington, NM ",130044
"Glens Falls, NY ",128923
"Harrisonburg, VA ",125228
"Logan, UT-ID ",125442
"New Bern, NC ",126802
"St. Joseph, MO-KS ",127329
"Altoona, PA ",127089
"Carbondale-Marion, IL ",126575
"Beckley, WV ",124898
"Goldsboro, NC ",122623
"Jonesboro, AR ",121026
"Hammond, LA ",121097
"Mansfield, OH ",124475
"Weirton-Steubenville, WV-OH ",124454
"Sherman-Denison, TX ",120877
"Watertown-Fort Drum, NY ",116229
"Bismarck, ND ",114778
"Staunton-Waynesboro, VA ",118502
"Albany, OR ",116672
"Mount Vernon-Anacortes, WA ",116901
"Cleveland, TN ",115788
"Muncie, IN ",117671
"Anniston-Oxford-Jacksonville, AL ",118572
"Williamsport, PA ",116111
"Owensboro, KY ",114752
"Sheboygan, WI ",115507
"Morristown, TN ",113951
"San Angelo, TX ",111823
"Brunswick, GA ",112370
"Kankakee, IL ",113449
"Wenatchee, WA ",110884
"Lawrence, KS ",110826
"Michigan City-La Porte, IN ",111467
"Missoula, MT ",109299
"Decatur, IL ",110768
"California-Lexington Park, MD ",105151
"Sumter, SC ",107456
"Lewiston-Auburn, ME ",107702
"Bay City, MI ",107771
"Lima, OH ",106331
"Gadsden, AL ",104430
"Ithaca, NY ",101564
"Longview, WA ",102410
"Cumberland, MD-WV ",103299
"Fond du Lac, WI ",101633
"The Villages, FL ",93420
"Gettysburg, PA ",101407
"Fairbanks, AK ",97581
"Grand Forks, ND-MN ",98461
"Sebring, FL ",98786
"Mankato-North Mankato, MN ",96740
"Manhattan, KS ",92719
"Pine Bluff, AR ",100258
"Cape Girardeau, MO-IL ",96275
"Hot Springs, AR ",96024
"Victoria, TX ",94003
"Ocean City, NJ ",97265
"Rome, GA ",96317
"Dubuque, IA ",93653
"Cheyenne, WY ",91738
"Parkersburg-Vienna, WV ",92673
"Ames, IA ",89542
"Elmira, NY ",88830
"Corvallis, OR ",85579
"Bloomsburg-Berwick, PA ",85562
"Midland, MI ",83629
"Pocatello, ID ",82839
"Grand Island, NE ",81850
"Grants Pass, OR ",82713
"Kokomo, IN ",82752
"Great Falls, MT ",81327
"Hinesville, GA ",77917
"Danville, IL ",81625
"Columbus, IN ",76794
"Casper, WY ",75450
"Walla Walla, WA ",62859
"Lewiston, ID-WA ",60888
"Carson City, NV ",55274
Alabama,
Alaska,
Arizona,
Arkansas,
California,
Colorado,
Connecticut,
Delaware,
Florida,
Georgia,
Hawaii,
Idaho,
Illinois,
Indiana,
Iowa,
Kansas,
Kentucky,
Louisiana,
Maine,
Maryland,
Massachusetts,
Michigan,
Minnesota,
Mississippi,
Missouri,
Montana,
Nebraska,
Nevada,
New Hampshire,
New Jersey,
New Mexico,
New York,
North Carolina,
North Dakota,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Utah,
Vermont,
Virginia,
Washington,
West Virginia,
Wisconsin,
Wyoming,
